,Player,Team,Match_up,Game_date,W_or_L,Min,Pts,FGM,FGA,FG_pct,threes_made,threes_attemp,three_pct,FTM,FTA,FTPct,OREB,DREB,REB,AST,STL,BLK,TOV,PF,plus_minus
0,Ryan Arcidiacono,CHI,"['vs.', 'DET']",04/11/2018,L,24,3,1,5,20.0,1,5,20.0,0,0,0.0,0,3,3,2,1,0,2,0,-17
1,Ricky Rubio,UTA,"['@', 'POR']",04/11/2018,L,24,17,5,12,41.7,1,1,100,6,6,100,0,5,5,5,1,0,4,5,-10
2,LaMarcus Aldridge,SAS,"['@', 'NOP']",04/11/2018,L,23,11,5,12,41.7,0,0,0.0,1,1,100,3,2,5,0,1,0,1,2,-16
3,Sam Dekker,LAC,"['vs.', 'LAL']",04/11/2018,L,24,10,5,6,83.3,0,0,0.0,0,1,0.0,1,7,8,1,1,0,2,3,9
4,Amir Johnson,PHI,"['vs.', 'MIL']",04/11/2018,W,15,8,4,5,80.0,0,0,0.0,0,0,0.0,3,5,8,1,1,0,0,2,15
5,Patrick Patterson,OKC,"['vs.', 'MEM']",04/11/2018,W,12,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,2,0,0,1,2,1
6,Jarrett Allen,BKN,"['@', 'BOS']",04/11/2018,L,19,10,4,5,80.0,0,0,0.0,2,2,100,0,7,7,0,0,1,0,4,-11
7,Josh Huestis,OKC,"['vs.', 'MEM']",04/11/2018,W,2,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
8,Markieff Morris,WAS,"['@', 'ORL']",04/11/2018,L,31,15,5,15,33.3,1,4,25.0,4,5,80.0,3,5,8,2,1,0,1,3,-11
9,Aaron Gordon,ORL,"['vs.', 'WAS']",04/11/2018,W,12,11,4,9,44.4,3,5,60.0,0,0,0.0,0,3,3,0,0,1,1,1,3
10,Rodney Purvis,ORL,"['vs.', 'WAS']",04/11/2018,W,25,16,5,13,38.5,2,6,33.3,4,4,100,0,5,5,1,0,0,2,3,11
11,Jakob Poeltl,TOR,"['@', 'MIA']",04/11/2018,L,29,16,8,10,80.0,0,0,0.0,0,1,0.0,6,6,12,0,3,2,2,2,-7
12,Mike Scott,WAS,"['@', 'ORL']",04/11/2018,L,21,10,4,11,36.4,0,2,0.0,2,6,33.3,1,4,5,2,0,0,0,2,5
13,Josh Hart,LAL,"['@', 'LAC']",04/11/2018,W,36,30,9,15,60.0,7,9,77.8,5,5,100,1,4,5,5,1,0,2,2,9
14,Anthony Tolliver,DET,"['@', 'CHI']",04/11/2018,W,27,18,6,10,60.0,4,7,57.1,2,2,100,1,2,3,0,0,0,1,4,16
15,Cheick Diallo,NOP,"['vs.', 'SAS']",04/11/2018,W,4,2,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
16,Reggie Hearn,DET,"['@', 'CHI']",04/11/2018,W,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
17,Allen Crabbe,BKN,"['@', 'BOS']",04/11/2018,L,26,16,5,13,38.5,5,10,50.0,1,1,100,1,6,7,3,1,1,0,1,-10
18,Khem Birch,ORL,"['vs.', 'WAS']",04/11/2018,W,33,13,3,3,100,0,0,0.0,7,10,70.0,3,6,9,1,0,2,2,2,2
19,Fred VanVleet,TOR,"['@', 'MIA']",04/11/2018,L,19,7,2,6,33.3,1,2,50.0,2,3,66.7,0,1,1,3,0,0,2,1,-7
20,Arron Afflalo,ORL,"['vs.', 'WAS']",04/11/2018,W,17,12,5,7,71.4,2,4,50.0,0,0,0.0,0,0,0,1,0,0,0,2,4
21,Dante Exum,UTA,"['@', 'POR']",04/11/2018,L,20,6,2,6,33.3,0,1,0.0,2,2,100,0,1,1,3,0,0,1,1,-10
22,Julius Randle,LAL,"['@', 'LAC']",04/11/2018,W,17,6,2,3,66.7,0,1,0.0,2,2,100,0,5,5,3,0,0,3,4,8
23,Nikola Mirotic,NOP,"['vs.', 'SAS']",04/11/2018,W,34,21,9,15,60.0,2,7,28.6,1,1,100,2,13,15,1,1,1,3,2,21
24,Frank Ntilikina,NYK,"['@', 'CLE']",04/11/2018,W,37,16,7,16,43.8,2,5,40.0,0,0,0.0,3,1,4,4,3,1,1,2,1
25,C.J. Williams,LAC,"['vs.', 'LAL']",04/11/2018,L,29,8,4,10,40.0,0,2,0.0,0,0,0.0,0,1,1,4,1,0,0,2,-9
26,Austin Rivers,LAC,"['vs.', 'LAL']",04/11/2018,L,20,1,0,9,0.0,0,4,0.0,1,2,50.0,0,1,1,6,1,0,0,1,-8
27,Bryn Forbes,SAS,"['@', 'NOP']",04/11/2018,L,24,10,3,9,33.3,2,5,40.0,2,2,100,1,0,1,0,1,0,0,1,-6
